DE,54,415,yes,no,0,214.1,77,240.5,94,188.9,75,10.1,3,1,False.
IL,78,415,yes,no,0,236.8,141,265.3,101,152.4,77,9.5,2,1,True.
OH,169,408,no,no,0,147.2,115,161.9,123,142.1,103,7.2,6,3,False.
CT,93,415,no,no,0,271.1,101,237.4,133,145.4,103,8.4,6,1,True.
NH,67,415,no,yes,40,104.9,65,216.3,93,217.4,128,9.6,9,1,False.
WV,125,415,no,no,0,206,128,198.1,71,135.9,116,13.2,3,0,False.
TN,68,415,no,no,0,222.8,99,175.8,85,202,111,11,3,3,False.
WY,54,408,no,yes,39,143.9,73,210.3,117,129.2,117,12.5,8,2,False.
LA,93,415,no,no,0,179.3,93,178.6,98,225.2,131,11.5,6,3,False.
SC,102,408,no,no,0,174.5,73,213.7,114,164.7,116,10.3,5,4,False.
WA,174,408,no,yes,33,167.8,91,205.3,91,130,132,14.5,4,4,True.
MN,100,415,yes,no,0,159.9,94,179.9,95,154.4,102,11.6,2,2,True.
UT,74,415,no,no,0,106.4,84,140.2,104,90.9,81,11.4,3,1,False.
KS,186,510,no,no,0,137.8,97,187.7,118,146.4,85,8.7,6,1,False.
MO,74,415,no,no,0,172.1,105,211.7,99,182.2,105,11.6,6,1,False.
ID,169,415,no,no,0,235.7,79,136.9,85,220.9,97,13.3,10,1,False.
ID,105,408,no,no,0,232.6,96,253.4,117,154,101,10.5,9,1,False.
WY,109,415,no,no,0,137,128,217,116,182.1,86,10,5,2,False.
NV,183,415,no,no,0,116.7,92,213.8,112,214.3,112,9.7,6,2,False.
CO,118,415,no,yes,36,294.9,106,165.7,115,189.2,63,9.8,5,3,False.
KY,108,415,no,yes,35,169.8,136,173.7,101,214.6,105,9.5,7,2,False.
UT,96,415,no,no,0,160.2,117,267.5,67,228.5,68,9.3,5,2,False.
WV,79,415,no,no,0,222.3,99,146.2,82,275.6,82,8.9,4,3,False.
CT,97,415,no,no,0,215.3,58,242.4,91,279.8,105,12.1,9,0,False.
WV,63,510,no,no,0,261.8,69,245,135,202.1,94,14.7,4,0,True.
IN,115,415,no,no,0,226.4,101,276.8,60,213.4,82,12.3,4,3,True.
CO,76,408,no,yes,26,214.6,110,205.2,87,134.6,140,8.1,2,1,False.
NH,35,408,no,no,0,138.1,115,158.2,82,215.7,118,10.3,2,5,True.
CT,162,408,no,no,0,49.2,121,143.9,136,203,97,12.1,13,1,False.
TN,102,510,no,no,0,103.1,70,275,129,141.1,92,11.2,5,1,False.
FL,103,415,no,no,0,158.7,90,198.4,117,181.1,76,10.5,4,1,False.
AK,52,408,no,no,0,217,104,152.3,83,134.3,109,11.8,4,2,False.
NH,100,408,no,no,0,218.8,125,148.3,102,277.8,97,9.7,6,1,False.
ND,105,415,no,yes,23,193.5,85,220.2,90,272.4,111,8.5,5,0,False.
NY,59,408,no,no,0,107.8,113,216.6,125,217.5,92,9.9,3,2,False.
DE,115,408,no,no,0,127.7,67,182.9,90,172.9,92,10.6,7,1,False.
PA,69,415,no,no,0,228.2,70,263.7,80,142.6,60,10.7,5,3,False.
SD,93,510,no,no,0,328.1,106,151.7,89,303.5,114,8.7,3,1,True.
HI,98,408,no,yes,30,110.3,71,182.4,108,183.8,88,11,8,2,False.
CO,37,408,no,no,0,199.5,107,207.5,110,83.9,123,8.1,4,2,False.
IA,79,415,no,yes,17,167.9,114,243.7,93,211.9,114,9.1,2,1,False.
NM,107,415,no,no,0,222.3,101,286,111,249.4,117,12.1,4,1,True.
WV,101,415,no,yes,28,220.3,96,285.8,72,203,111,9.4,6,4,False.
SC,99,510,no,no,0,169.2,70,271.5,77,170.2,104,10.6,2,0,False.
IN,88,415,yes,yes,25,288.5,114,203.4,74,228.4,117,13,5,1,False.
NM,87,415,no,no,0,168.2,92,224.7,100,169.5,99,12.9,3,1,False.
AZ,43,415,no,no,0,179.3,97,252.7,126,227.5,114,8,5,0,False.
WV,43,408,no,no,0,230.2,147,186.7,121,128.4,100,9.2,3,0,False.
RI,145,408,no,yes,43,257.7,97,162.1,95,286.9,86,11.1,4,2,False.
WY,70,415,no,no,0,175.4,130,159.5,130,260.6,96,11.6,4,0,False.
NY,137,415,yes,no,0,174,123,161.3,115,260.7,98,11.4,3,2,False.
DC,68,415,yes,yes,39,142,140,241.6,89,302,72,11.3,5,1,False.
OK,123,415,no,yes,27,198.7,127,249,105,173.2,124,12.5,5,1,False.
DE,85,510,no,no,0,211.5,100,184.6,88,164.3,131,13.3,4,2,False.
ID,56,510,no,no,0,150.9,79,161.8,87,167.7,115,11.7,5,3,False.
LA,172,415,no,no,0,215.7,140,146.3,84,264.6,83,7.1,1,3,False.
HI,106,415,no,no,0,147.9,97,209.3,99,162.1,80,8.8,5,2,False.
IN,76,415,no,no,0,204.2,100,292.6,139,244.3,105,10.5,2,0,False.
MO,6,510,no,no,0,183.6,117,256.7,72,178.6,79,10.2,2,1,False.
CT,163,408,no,yes,40,231.9,56,211.8,91,268.5,74,12.3,3,2,False.
CO,119,408,no,no,0,124.3,68,207.1,88,157.4,93,14.8,1,0,False.
AK,58,510,no,no,0,131.9,96,167.6,107,205.9,106,14.7,5,3,False.
SC,108,415,no,no,0,112,105,193.7,110,208.9,93,4.1,4,4,True.
FL,104,415,no,no,0,76.4,116,115.6,74,226.3,94,9.4,3,3,False.
NM,178,415,no,yes,35,175.4,88,190,65,138.7,94,10.5,3,2,False.
CO,92,415,no,no,0,184.7,60,262,73,239.5,120,12.3,6,2,True.
OK,177,408,no,no,0,175.4,99,155.3,83,179.4,86,11.5,3,1,False.
ND,154,408,no,yes,35,224,102,192,99,163.1,100,9.6,2,0,False.
SD,125,415,no,no,0,163.8,73,255.6,85,192.9,95,15.7,4,0,False.
MA,79,415,no,no,0,156.9,109,122.2,87,189.1,103,11.3,5,3,False.
ME,163,415,no,no,0,122.4,129,113.4,108,180.2,97,12.5,7,1,False.
AL,112,510,no,no,0,189.4,83,219,89,168,116,7.1,8,3,False.
NY,204,415,no,no,0,174.3,85,254.1,95,176.4,96,5.9,3,6,False.
CO,121,408,no,yes,30,198.4,129,75.3,77,181.2,77,5.8,3,3,True.
NE,96,415,no,no,0,180.6,92,190.9,114,295.6,125,10.3,4,1,True.
WA,127,408,no,no,0,146.7,91,203.5,78,203.4,110,13.7,3,1,False.
AR,77,415,no,yes,23,209.7,73,183.6,63,205.5,111,7.1,3,2,False.
OK,87,415,no,no,0,205.2,106,99.5,122,189.5,75,13.4,3,1,False.
MN,161,415,no,yes,39,218.5,76,112.7,94,205.1,121,7.3,4,1,False.
OH,125,408,no,no,0,106.1,95,157.6,113,192.5,69,8.1,3,1,False.
SD,93,415,no,no,0,176.1,103,199.7,130,263.9,96,8.5,6,2,False.
MN,53,415,no,yes,24,145.7,146,220.5,136,249.9,96,13.1,5,3,False.
UT,81,415,no,no,0,129.9,121,230.1,105,140.5,123,13.3,3,0,False.
FL,116,510,no,no,0,192.1,98,312.9,135,130.2,94,7.9,2,3,False.
WV,86,415,no,yes,38,123,158,133.9,119,138.2,103,13.3,4,1,False.
ND,59,510,no,no,0,179.4,80,232.5,99,175.8,105,14.7,3,0,False.
AR,80,415,no,no,0,124.3,100,173,107,253.2,62,7.9,9,1,False.
VA,139,510,no,yes,23,157.6,129,247,96,259.2,112,13.7,2,0,False.
NC,95,408,no,no,0,128.6,115,216.2,88,255.3,96,6.3,2,6,True.
GA,132,415,no,no,0,176.7,132,244.1,80,176.3,120,9.1,4,2,False.
KY,56,415,yes,no,0,177.7,114,215.6,110,236.7,67,10.5,5,1,False.
SD,209,415,no,no,0,227.2,128,258.4,92,183.5,74,8.9,4,3,False.
OR,48,415,no,no,0,190.4,92,317.5,85,133.4,113,8.3,4,2,False.
FL,91,510,yes,yes,24,93.5,112,183.4,128,240.7,133,9.9,3,0,False.
DE,171,510,no,yes,17,186.9,94,240,138,200.9,64,5.8,3,1,False.
